group,trial_id,timepoint,before,after,difference
random,D10MS,6806.0,1.0,1.0,0.0
random,D3MS,6655.0,0.4666666666666667,0.3333333333333333,0.13333333333333336
random,D2MD,6343.0,1.0,1.0,0.0
random,D11MS,3561.0,0.23333333333333334,1.0,-0.7666666666666666
random,D2MD,3858.0,1.0,1.0,0.0
random,D10MS,7743.0,0.6,0.43333333333333335,0.16666666666666663
random,D10MS,5559.0,1.0,1.0,0.0
random,D2MS,3094.0,1.0,1.0,0.0
random,D6MS,4637.0,1.0,1.0,0.0
random,D2MD,8733.0,1.0,0.7666666666666667,0.23333333333333328
random,D7MD,5141.0,0.26666666666666666,0.3,-0.033333333333333326
random,D6MS,1538.0,1.0,0.6333333333333333,0.3666666666666667
random,D11MS,4080.0,1.0,0.3333333333333333,0.6666666666666667
random,D10MS,5520.0,1.0,1.0,0.0
random,D10MS,7171.0,1.0,1.0,0.0
random,D11MS,2590.0,1.0,1.0,0.0
random,D11MS,5403.0,0.36666666666666664,1.0,-0.6333333333333333
random,D4MD,8015.0,0.03333333333333333,1.0,-0.9666666666666667
random,D4MS,8659.0,0.7,0.36666666666666664,0.3333333333333333
random,D4MD,6553.0,1.0,0.6,0.4
random,D10MS,7130.0,1.0,1.0,0.0
random,D11MS,6554.0,1.0,1.0,0.0
random,D10MS,3148.0,1.0,1.0,0.0
random,D4MD,6025.0,0.5333333333333333,0.1,0.43333333333333335
random,D2MS,2575.0,0.36666666666666664,1.0,-0.6333333333333333
random,D6MS,1660.0,1.0,0.8333333333333334,0.16666666666666663
random,D10MD,7058.0,0.13333333333333333,0.2,-0.06666666666666668
random,D7MS,340.0,0.1,0.6333333333333333,-0.5333333333333333
random,D3MS,7991.0,0.5666666666666667,1.0,-0.43333333333333335
random,D4MD,7011.0,1.0,1.0,0.0
random,D6MS,4796.0,1.0,1.0,0.0
random,D2MD,6702.0,1.0,1.0,0.0
random,D11MD,255.0,1.0,0.7,0.30000000000000004
random,D10MS,5696.0,1.0,1.0,0.0
random,D1MS,7063.0,1.0,0.06666666666666667,0.9333333333333333
random,D6MS,2422.0,1.0,0.4,0.6
random,D2MD,5037.0,1.0,1.0,0.0
random,D11MD,23.0,0.7333333333333333,1.0,-0.2666666666666667
random,D4MS,675.0,1.0,1.0,0.0
random,D4MD,8448.0,1.0,1.0,0.0
